ID,SYMBOL
0,PAD
1,SEP
2,UNKWON
3,CLS
4,MASK
5,HTR3C2P
6,A1BG
7,A1BG-AS1
8,A1CF
9,A2M
10,A2M-AS1
11,A2ML1
12,A2MP1
13,A3GALT2
14,A4GALT
15,A4GNT
16,AA06
17,AACS
18,AACSP1
19,AADAC
20,AADACL3
21,AADACL4
22,AADACP1
23,AADAT
24,PRXL2C
25,AAGAB
26,AAK1
27,AAMDC
28,AAMP
29,AANAT
30,AAR2
31,AARD
32,AARS1
33,AARS2
34,AARSD1
35,AASDH
36,AASDHPPT
37,AASS
38,AATBC
39,AATK
40,PVALEF
41,ABAT
42,ABCA1
43,ABCA10
44,ABCA11P
45,ABCA12
46,ABCA13
47,ABCA17P
48,ABCA2
49,ABCA3
50,ABCA4
51,ABCA5
52,ABCA6
53,ABCA7
54,ABCA8
55,ABCA9
56,ABCA9-AS1
57,ABCB1
58,ABCB10
59,ABCB10P1
60,ABCB4
61,ABCB5
62,ABCB6
63,ABCB7
64,ABCB8
65,ABCB9
66,ABCC10
67,ABCC11
68,ABCC12
69,ABCC13
70,ABCC2
71,ABCC3
72,ABCC4
73,ABCC5
74,ABCC5-AS1
75,ABCC8
76,ABCC9
77,ABCD1
78,ABCD1P3
79,ABCD1P5
80,ABCD2
81,ABCD3
82,ABCD4
83,ABCE1
84,ABCF2
85,ABCF2P1
86,ABCF2P2
87,ABCF3
88,ABCG1
89,ABCG2
90,ABCG4
91,ABCG5
92,ABCG8
93,ABHD1
94,ABHD10
95,ABHD11
96,BICDL3P
97,ABHD12
98,ABHD12B
99,ABHD13
100,ABHD14A
101,ABHD14A-ACY1
102,ABHD14B
103,ABHD15
104,ABHD16B
105,ABHD17A
106,ABHD17AP1
107,ABHD17AP3
108,ABHD17AP4
109,ABHD17AP5
110,ABHD17AP6
111,ABHD17AP7
112,ABHD17AP8
113,ABHD17AP9
114,ABHD17B
115,ABHD17C
116,ABHD2
117,ABHD3
118,ABHD4
119,ABHD5
120,ABHD6
121,ABHD8
122,ABI1
123,ABI1P1
124,ABI2
125,ABI3
126,ABI3BP
127,ABL1
128,ABL2
129,ABLIM1
130,ABLIM2
131,ABLIM3
132,ABRA
133,ABRACL
134,ABT1P1
135,ABTB1
136,ABTB2
137,ACAA1
138,ACAA2
139,ACACB
140,ACAD10
141,ACAD11
142,ACAD8
143,ACAD9
144,ACADL
145,ACADM
146,ACADS
147,ACADSB
148,ACADVL
149,ACAN
150,ACAP2
151,ACAP3
152,ACAT1
153,ACAT2
154,ACBD3
155,ACBD4
156,ACBD5
157,ACBD6
158,ACBD7
159,ACCS
160,ACCSL
161,ACD
162,ACE
163,ACE2
164,ACE3P
165,ACER1
166,ACER2
167,ACER3
168,ACHE
169,ACIN1
170,ACKR1
171,ACKR2
172,ACKR3
173,ACKR4
174,ACLY
175,ACMSD
176,ACO1
177,ACO2
178,ACOT1
179,ACOT11
180,ACOT12
181,ACOT13
182,ACOT2
183,ACOT4
184,ACOT6
185,ACOT7
186,ACOT8
187,ACOT9
188,ACOX1
189,ACOX2
190,ACOX3
191,ACOXL
192,ACP1
193,ACP2
194,ACP5
195,ACP6
196,ACP3
197,ACP4
198,ACRBP
199,GCNA
200,ACRV1
201,ACSBG1
202,ACSBG2
203,ACSF2
204,ACSF3
205,ACSL1
206,ACSL3
207,ACSL4
208,ACSL5
209,ACSL6
210,ACSM1
211,ACSM2A
212,ACSM2B
213,ACSM3
214,ACSM4
215,ACSM5
216,ACSM5P1
217,ACSM6
218,ACSS1
219,ACSS2
220,ACSS3
221,ACTA1
222,ACTA2
223,ACTA2-AS1
224,ACTB
225,ACTBL2
226,ACTBP1
227,ACTBP11
228,ACTBP12
229,ACTL11P
230,ACTBP14
231,ACTBP2
232,ACTBP4
233,ACTBP6
234,ACTBP7
235,ACTBP8
236,ACTBP9
237,ACTC1
238,ACTG1P1
239,ACTG1P10
240,ACTG1P11
241,ACTG1P12
242,ACTG1P13
243,ACTG1P14
244,ACTG1P16
245,ACTG1P17
246,ACTG1P18
247,ACTG1P19
248,ACTG1P2
249,ACTG1P20
250,ACTG1P21
251,ACTG1P22
